firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Nathan,Kreuger,1814,Collingwood,2022,15,KEY_FORWARD,CD_I997254,1999-06-25,2018,196,93,Victor Harbour (SA)/South Adelaide (SANFL)/Geelong,2021,other,NA,2022-10-24
Ash,Johnson,5557,Collingwood,2022,40,KEY_FORWARD,CD_I997974,1997-10-06,2021,193,87,Halls Ck (WA)/Clare (WAFL)/N Wang (Vic)/Scotch OC (SA)/Sturt (SANFL),2022,other,3,2022-10-24
Mason,Cox,809,Collingwood,2022,46,RUCK,CD_I998647,1991-03-14,2017,211,108,Oklahoma State University (USA),2016,rookieElevation,NA,2022-10-24
Jez,McLennan,1805,Gold Coast Suns,2022,43,MEDIUM_DEFENDER,CD_I1000044,2000-09-07,NA,185,85,NA,NA,NA,NA,2022-10-24
Chris,Burgess,1910,Gold Coast Suns,2022,29,KEY_FORWARD,CD_I1000068,1995-11-26,NA,191,94,NA,NA,NA,NA,2022-10-24
Izak,Rankine,1815,Gold Coast Suns,2022,22,MEDIUM_FORWARD,CD_I1001195,2000-04-23,NA,181,81,NA,NA,NA,NA,2022-10-24
Charlie,Constable,1472,Gold Coast Suns,2022,33,MIDFIELDER,CD_I1002242,1999-05-18,NA,192,86,NA,NA,NA,NA,2022-10-24
Jack,Lukosius,1831,Gold Coast Suns,2022,13,KEY_FORWARD,CD_I1004095,2000-08-09,NA,195,91,NA,NA,NA,NA,2022-10-24
Josh,Corbett,1832,Gold Coast Suns,2022,19,KEY_FORWARD,CD_I1005547,1996-04-23,NA,190,90,NA,NA,NA,NA,2022-10-24
Malcolm,Rosas,2602,Gold Coast Suns,2022,41,MEDIUM_FORWARD,CD_I1005986,2001-06-27,NA,175,70,NA,NA,NA,NA,2022-10-24
Joel,Jeffrey,2568,Gold Coast Suns,2022,40,KEY_FORWARD,CD_I1005992,2002-03-12,NA,192,82,NA,NA,NA,NA,2022-10-24
Caleb,Graham,1911,Gold Coast Suns,2022,46,KEY_DEFENDER,CD_I1006087,2000-09-12,NA,195,96,NA,NA,NA,NA,2022-10-24
Ben,King,1810,Gold Coast Suns,2022,34,KEY_FORWARD,CD_I1006144,2000-07-07,NA,202,98,NA,NA,NA,NA,2022-10-24
Wil,Powell,1474,Gold Coast Suns,2022,27,MEDIUM_DEFENDER,CD_I1007881,1999-08-26,NA,185,81,NA,NA,NA,NA,2022-10-24
Connor,Budarick,2389,Gold Coast Suns,2022,35,MEDIUM_DEFENDER,CD_I1008454,2001-04-06,NA,175,75,NA,NA,NA,NA,2022-10-24
Charlie,Ballard,1475,Gold Coast Suns,2022,10,KEY_DEFENDER,CD_I1008882,1999-07-23,NA,196,95,NA,NA,NA,NA,2022-10-24
Noah,Anderson,2783,Gold Coast Suns,2022,15,MIDFIELDER,CD_I1009199,2001-02-17,NA,192,88,NA,NA,NA,NA,2022-10-24
Matt,Rowell,2790,Gold Coast Suns,2022,18,MIDFIELDER,CD_I1009208,2001-07-01,NA,180,80,NA,NA,NA,NA,2022-10-24
Sam,Flanders,2341,Gold Coast Suns,2022,26,MIDFIELDER_FORWARD,CD_I1009260,2001-07-24,NA,183,82,NA,NA,NA,NA,2022-10-24
Hewago Paul,Oea,2508,Gold Coast Suns,2022,47,MEDIUM_FORWARD,CD_I1009320,2001-11-13,NA,172,70,NA,NA,NA,NA,2022-10-24
Matt,Conroy,2738,Gold Coast Suns,2022,48,RUCK,CD_I1009334,2000-11-07,NA,199,95,NA,NA,NA,NA,2022-10-24
Jeremy,Sharp,3721,Gold Coast Suns,2022,20,MIDFIELDER,CD_I1009380,2001-08-13,NA,189,81,NA,NA,NA,NA,2022-10-24
Elijah,Hollands,2975,Gold Coast Suns,2022,36,MIDFIELDER,CD_I1012862,2002-04-25,NA,189,86,NA,NA,NA,NA,2022-10-24
Rhys,Nicholls,2513,Gold Coast Suns,2022,38,MEDIUM_DEFENDER,CD_I1013247,2002-09-30,NA,188,79,NA,NA,NA,NA,2022-10-24
Alex,Davies,2558,Gold Coast Suns,2022,5,MIDFIELDER_FORWARD,CD_I1013268,2002-03-18,NA,191,86,NA,NA,NA,NA,2022-10-24
Sandy,Brock,2875,Gold Coast Suns,2022,45,KEY_DEFENDER,CD_I1013315,2002-12-14,NA,198,86,NA,NA,NA,NA,2022-10-24
Patrick,Murtagh,2926,Gold Coast Suns,2022,42,KEY_DEFENDER,CD_I1016116,2000-02-11,NA,196,98,NA,NA,NA,NA,2022-10-24
Oskar,Faulkhead,5038,Gold Coast Suns,2022,37,MIDFIELDER,CD_I1017089,2003-02-11,NA,182,76,NA,NA,NA,NA,2022-10-24
Mac,Andrew,5063,Gold Coast Suns,2022,31,KEY_DEFENDER,CD_I1017396,2003-12-04,NA,201,74,NA,NA,NA,NA,2022-10-24
Bodhi,Uwland,4868,Gold Coast Suns,2022,32,MEDIUM_DEFENDER,CD_I1017665,2003-07-25,NA,185,84,NA,NA,NA,NA,2022-10-24
Ned,Moyle,5311,Gold Coast Suns,2022,49,RUCK,CD_I1021013,2002-02-15,NA,205,96,NA,NA,NA,NA,2022-10-24
Rory,Thompson,359,Gold Coast Suns,2022,16,KEY_DEFENDER,CD_I281075,1991-03-12,2010,200,100,Southport (Qld),2011,zone,NA,2022-10-24
Levi,Casboult,130,Gold Coast Suns,2022,30,KEY_FORWARD,CD_I281124,1990-03-15,2021,199,104,Beaconsfield (Vic)/Dandenong U18/Carlton,2012,rookieElevation,3,2022-10-24
David,Swallow,406,Gold Coast Suns,2022,24,MIDFIELDER,CD_I290832,1992-11-19,2010,185,87,Rossmoyne (WA)/East Fremantle (WAFL),2011,nationalDraft,1,2022-10-24
Sam,Day,186,Gold Coast Suns,2022,12,KEY_FORWARD,CD_I291753,1992-09-06,2010,197,99,Mitcham Hawks (SA)/Sturt (SANFL),2011,nationalDraft,3,2022-10-24
Jarrod,Witts,161,Gold Coast Suns,2022,28,RUCK,CD_I291975,1992-09-13,2011,209,111,St Ives (NSW)/Sydney University (NSW)/Collingwood,2013,other,67,2022-10-24
Brandon,Ellis,553,Gold Coast Suns,2022,4,MIDFIELDER,CD_I293713,1993-08-03,2011,181,82,West Coburg (Vic)/Calder U18/Richmond,2012,nationalDraft,15,2022-10-24
Sean,Lemmens,611,Gold Coast Suns,2022,23,MEDIUM_DEFENDER,CD_I294013,1994-11-02,NA,184,81,NA,NA,NA,NA,2022-10-24
Rory,Atkins,90,Gold Coast Suns,2022,2,MIDFIELDER,CD_I294472,1994-07-12,2012,186,85,Maribyrnong Park (Vic)/Calder U18/Adelaide,2015,nationalDraft,81,2022-10-24
Alex,Sexton,309,Gold Coast Suns,2022,6,MEDIUM_FORWARD,CD_I294643,1993-12-03,2011,186,82,Springwood (Qld)/Redland (NEAFL),2012,zone,88,2022-10-24
Sam,Collins,824,Gold Coast Suns,2022,25,KEY_DEFENDER,CD_I295446,1994-06-15,NA,194,99,NA,NA,NA,NA,2022-10-24
James,Tsitas,6120,Gold Coast Suns,2022,21,MEDIUM_FORWARD,CD_I296280,1995-03-03,NA,181,84,NA,NA,NA,NA,2022-10-24
Nick,Holman,128,Gold Coast Suns,2022,7,MEDIUM_FORWARD,CD_I297456,1995-05-29,NA,189,86,NA,NA,NA,NA,2022-10-24
Touk,Miller,990,Gold Coast Suns,2022,11,MIDFIELDER,CD_I298272,1996-02-22,NA,178,84,NA,NA,NA,NA,2022-10-24
Oleg,Markov,954,Gold Coast Suns,2022,17,MEDIUM_DEFENDER,CD_I298358,1996-05-08,NA,188,85,NA,NA,NA,NA,2022-10-24
Lachie,Weller,823,Gold Coast Suns,2022,14,MEDIUM_DEFENDER,CD_I298524,1996-02-23,NA,181,83,NA,NA,NA,NA,2022-10-24
Brayden,Fiorini,988,Gold Coast Suns,2022,8,MIDFIELDER,CD_I993799,1997-08-22,NA,186,84,NA,NA,NA,NA,2022-10-24
Mabior,Chol,1125,Gold Coast Suns,2022,1,KEY_FORWARD,CD_I994077,1997-01-29,NA,200,96,NA,NA,NA,NA,2022-10-24
Darcy,Macpherson,880,Gold Coast Suns,2022,44,MEDIUM_FORWARD,CD_I996464,1997-10-29,NA,174,79,NA,NA,NA,NA,2022-10-24
Ben,Ainsworth,1402,Gold Coast Suns,2022,9,MEDIUM_FORWARD,CD_I998130,1998-02-10,NA,179,77,NA,NA,NA,NA,2022-10-24
Jack,Bowes,1401,Gold Coast Suns,2022,3,MEDIUM_DEFENDER,CD_I998260,1998-01-26,NA,187,88,NA,NA,NA,NA,2022-10-24
Jy,Farrar,3722,Gold Coast Suns,2022,50,MEDIUM_DEFENDER,CD_I999715,1996-12-07,NA,191,77,NA,NA,NA,NA,2022-10-24
Harry,McKay,692,Carlton,2022,10,KEY_FORWARD,CD_I1000953,1997-12-24,NA,204,104,NA,NA,NA,NA,2022-10-24
Jack,Silvagni,766,Carlton,2022,1,KEY_FORWARD,CD_I1001028,1997-12-17,NA,194,91,NA,NA,NA,NA,2022-10-24
Matthew,Kennedy,922,Carlton,2022,7,MIDFIELDER,CD_I1001398,1997-04-06,NA,190,90,NA,NA,NA,NA,2022-10-24
Lachie,Fogarty,1732,Carlton,2022,8,MEDIUM_FORWARD,CD_I1002228,1999-04-01,NA,180,76,NA,NA,NA,NA,2022-10-24
Adam,Cerra,1562,Carlton,2022,5,MIDFIELDER,CD_I1002239,1999-10-07,NA,187,86,NA,NA,NA,NA,2022-10-24
Paddy,Dow,1554,Carlton,2022,2,MIDFIELDER,CD_I1002256,1999-10-16,NA,187,85,NA,NA,NA,NA,2022-10-24
Lochie,O'Brien,1557,Carlton,2022,4,MIDFIELDER,CD_I1002259,1999-09-18,NA,185,84,NA,NA,NA,NA,2022-10-24
Jordan,Boyd,4803,Carlton,2022,37,MEDIUM_DEFENDER,CD_I1002795,1998-09-22,NA,182,80,NA,NA,NA,NA,2022-10-24
Josh,Honey,3269,Carlton,2022,36,MEDIUM_FORWARD,CD_I1002938,2001-10-17,NA,186,85,NA,NA,NA,NA,2022-10-24
Tom,De Koning,1544,Carlton,2022,12,RUCK,CD_I1004912,1999-07-16,NA,203,101,NA,NA,NA,NA,2022-10-24
Sam,Walsh,1896,Carlton,2022,18,MIDFIELDER,CD_I1006094,2000-07-02,NA,184,84,NA,NA,NA,NA,2022-10-24
Matthew,Cottrell,1895,Carlton,2022,46,MIDFIELDER_FORWARD,CD_I1008154,2000-02-29,NA,185,80,NA,NA,NA,NA,2022-10-24
Liam,Stocker,1897,Carlton,2022,13,MEDIUM_DEFENDER,CD_I1008312,2000-01-23,NA,184,86,NA,NA,NA,NA,2022-10-24
Corey,Durdin,4054,Carlton,2022,19,MEDIUM_FORWARD,CD_I1008510,2002-04-14,NA,173,76,NA,NA,NA,NA,2022-10-24
Brodie,Kemp,2209,Carlton,2022,17,KEY_DEFENDER,CD_I1009241,2001-05-01,NA,193,88,NA,NA,NA,NA,2022-10-24
Sam,Philp,2819,Carlton,2022,34,MIDFIELDER_FORWARD,CD_I1011929,2001-08-04,NA,186,83,NA,NA,NA,NA,2022-10-24
Luke,Parks,3108,Carlton,2022,26,KEY_DEFENDER,CD_I1012409,2001-04-18,NA,192,86,NA,NA,NA,NA,2022-10-24
Jack,Carroll,4055,Carlton,2022,16,MEDIUM_FORWARD,CD_I1013233,2002-12-20,NA,188,82,NA,NA,NA,NA,2022-10-24
Matthew,Owies,1776,Carlton,2022,44,MEDIUM_FORWARD,CD_I1013973,1997-03-19,NA,180,81,NA,NA,NA,NA,2022-10-24
Domanic,Akuei,3233,Carlton,2022,41,KEY_DEFENDER,CD_I1015830,2002-05-12,NA,192,78,NA,NA,NA,NA,2022-10-24
Jesse,Motlop,5674,Carlton,2022,3,MEDIUM_FORWARD,CD_I1017700,2003-11-23,NA,176,76,NA,NA,NA,NA,2022-10-24
Alex,Mirkov,5029,Carlton,2022,45,RUCK,CD_I1023446,1999-11-17,NA,210,104,NA,NA,NA,NA,2022-10-24
Ed,Curnow,91,Carlton,2022,35,MIDFIELDER_FORWARD,CD_I270146,1989-11-07,2013,179,86,Modewarre (Vic)/Geel College (Vic)/Geel U18/Adel Rks/Box Hill (VFL),2011,rookieElevation,89,2022-10-24
Liam,Jones,772,Carlton,2022,14,KEY_DEFENDER,CD_I281078,1991-02-24,2008,199,100,North Hobart (Tas)/Tasmania U18/Scotch College (Vic)/WB,2010,nationalDraft,32,2022-10-24
Jack,Newnes,648,Carlton,2022,32,MIDFIELDER,CD_I291773,1993-02-24,2011,185,84,Ivanhoe (Vic)/Northern U18/St Kilda,2012,nationalDraft,37,2022-10-24
George,Hewett,690,Carlton,2022,29,MIDFIELDER,CD_I294036,1995-12-29,NA,187,85,NA,NA,NA,NA,2022-10-24
Lachie,Plowman,236,Carlton,2022,20,MEDIUM_DEFENDER,CD_I294624,1994-09-11,2012,193,87,Macedon (Vic)/Calder U18/GWS,2013,nationalDraft,3,2022-10-24
Zac,Williams,483,Carlton,2022,6,MEDIUM_DEFENDER,CD_I294685,1994-09-20,2013,185,85,Albury (NSW)/NSW-ACT U18/Murray U18/GWS,2013,rookieElevation,95,2022-10-24
Adam,Saad,913,Carlton,2022,42,MEDIUM_DEFENDER,CD_I295461,1994-07-23,NA,178,77,NA,NA,NA,NA,2022-10-24
Sam,Docherty,80,Carlton,2022,15,MEDIUM_DEFENDER,CD_I295518,1993-10-17,2011,185,86,Phillip Island (Vic)/Gippsland U18/Brisbane,2013,nationalDraft,12,2022-10-24
Jack,Martin,222,Carlton,2022,21,MEDIUM_FORWARD,CD_I296190,1995-01-29,NA,186,82,NA,NA,NA,NA,2022-10-24
Mitch,McGovern,738,Carlton,2022,11,KEY_DEFENDER,CD_I297255,1994-10-11,NA,191,89,NA,NA,NA,NA,2022-10-24
Sam,Durdin,1009,Carlton,2022,38,KEY_DEFENDER,CD_I297767,1996-06-06,NA,198,95,NA,NA,NA,NA,2022-10-24
Nic,Newman,950,Carlton,2022,24,MEDIUM_DEFENDER,CD_I297907,1993-01-15,NA,187,80,NA,NA,NA,NA,2022-10-24
Marc,Pittonet,892,Carlton,2022,27,RUCK,CD_I298290,1996-06-03,NA,202,104,NA,NA,NA,NA,2022-10-24
Caleb,Marchbank,902,Carlton,2022,22,MEDIUM_DEFENDER,CD_I298302,1996-12-07,NA,193,92,NA,NA,NA,NA,2022-10-24
Patrick,Cripps,270,Carlton,2022,9,MIDFIELDER,CD_I990704,1995-03-18,NA,195,93,NA,NA,NA,NA,2022-10-24
Will,Hayes,1951,Carlton,2022,40,MIDFIELDER,CD_I991976,1995-06-05,NA,181,78,NA,NA,NA,NA,2022-10-24
Oscar,McDonald,926,Carlton,2022,39,KEY_DEFENDER,CD_I992472,1996-03-18,NA,196,98,NA,NA,NA,NA,2022-10-24
David,Cuningham,846,Carlton,2022,28,MIDFIELDER,CD_I993795,1997-03-30,NA,186,85,NA,NA,NA,NA,2022-10-24
Jacob,Weitering,774,Carlton,2022,23,KEY_DEFENDER,CD_I993832,1997-11-23,NA,196,101,NA,NA,NA,NA,2022-10-24
Charlie,Curnow,776,Carlton,2022,30,KEY_FORWARD,CD_I996731,1997-02-03,NA,192,92,NA,NA,NA,NA,2022-10-24
Lewis,Young,1335,Carlton,2022,33,KEY_DEFENDER,CD_I997316,1998-12-20,NA,201,100,NA,NA,NA,NA,2022-10-24
Thomas,Williamson,1329,Carlton,2022,31,MEDIUM_DEFENDER,CD_I998167,1998-12-12,NA,190,85,NA,NA,NA,NA,2022-10-24
Will,Setterfield,1359,Carlton,2022,43,MIDFIELDER,CD_I998215,1998-02-05,NA,192,87,NA,NA,NA,NA,2022-10-24
Zac,Fisher,1291,Carlton,2022,25,MEDIUM_FORWARD,CD_I999827,1998-06-15,NA,179,76,NA,NA,NA,NA,2022-10-24
Callum,Coleman-Jones,1754,North Melbourne,2022,21,RUCK,CD_I1000061,1999-06-13,2017,200,105,Unley (SA)/Scotch College (SA)/Sturt (SANFL)/Richmond,2019,nationalDraft,20,2022-10-24
Nick,Larkey,1355,North Melbourne,2022,20,KEY_FORWARD,CD_I1001017,1998-06-06,2016,198,95,Hawthorn Citizens (Vic)/Oakleigh U18,2017,nationalDraft,73,2022-10-24
Ben,McKay,874,North Melbourne,2022,23,KEY_DEFENDER,CD_I1002143,1997-12-24,2015,201,99,Warragul (Vic)/Gippsland U18,2017,nationalDraft,21,2022-10-24
Jaidyn,Stephenson,1659,North Melbourne,2022,2,MEDIUM_FORWARD,CD_I1002240,1999-01-15,2017,188,75,Ferntree Gully (Vic)/Eastern U18/Collingwood,2018,nationalDraft,6,2022-10-24
Luke,Davies-Uniacke,1607,North Melbourne,2022,9,MIDFIELDER,CD_I1002267,1999-06-08,2017,188,87,Rye (Vic)/Haileybury College (Vic)/Dandenong U18,2018,nationalDraft,4,2022-10-24
Paul,Curtis,4350,North Melbourne,2022,25,MEDIUM_FORWARD,CD_I1002947,2003-03-04,2021,185,75,Keilor (Vic)/Western U18,2022,nationalDraft,35,2022-10-24
Aiden,Bonar,1480,North Melbourne,2022,16,KEY_DEFENDER,CD_I1004894,1999-03-08,2017,188,87,Seaford (Vic)/Haileybury College (Vic)/Dandenong U18/GWS,2018,nationalDraft,11,2022-10-24
Lachie,Young,1907,North Melbourne,2022,17,MEDIUM_DEFENDER,CD_I1004909,1999-04-06,2020,189,81,Mt Eliza (Vic)/Peninsula Gram (Vic)/Dande U18/Frankston (VFL)/WB,2019,other,NA,2022-10-24
Tristan,Xerri,1694,North Melbourne,2022,38,RUCK,CD_I1004965,1999-03-15,2017,201,99,Caroline Springs (Vic)/Western U18,2020,nationalDraft,72,2022-10-24
Tarryn,Thomas,1934,North Melbourne,2022,26,MIDFIELDER_FORWARD,CD_I1005729,2000-03-25,2018,189,76,North Launceston (Tas),2019,nationalDraft,8,2022-10-24
Bailey,Scott,1837,North Melbourne,2022,8,MEDIUM_DEFENDER,CD_I1006058,2000-07-09,2018,186,77,Broadbeach (Qld),2019,fatherSon,49,2022-10-24
Curtis,Taylor,1844,North Melbourne,2022,5,MIDFIELDER,CD_I1006137,2000-04-06,2018,187,78,Keilor (Vic)/Calder U18,2019,nationalDraft,46,2022-10-24
Matt,McGuinness,3056,North Melbourne,2022,41,KEY_DEFENDER,CD_I1006653,2000-07-13,2019,192,77,Lauderdale (Tas)/Tasmania U18,NA,other,NA,2022-10-24
Atu,Bosenavulagi,1785,North Melbourne,2022,15,MEDIUM_DEFENDER,CD_I1008288,2000-09-17,2018,180,83,Boroondara (Vic)/CBC St Kilda (Vic)/Oakleigh U18/Collingwood,2020,nationalDraft,77,2022-10-24
Jack,Mahony,2833,North Melbourne,2022,1,MEDIUM_FORWARD,CD_I1009189,2001-11-12,2019,178,72,St Kevin&apos;s College (Vic)/St Kevin&apos;s OB (Vic)/Sandringham U18,2020,nationalDraft,34,2022-10-24
Jason,Horne-Francis,5691,North Melbourne,2022,6,MIDFIELDER_FORWARD,CD_I1011640,2003-06-21,2021,185,81,Christies Beach (SA)/South Adelaide (SANFL),2022,nationalDraft,1,2022-10-24
Phoenix,Spicer,4069,North Melbourne,2022,36,MEDIUM_FORWARD,CD_I1011647,2002-01-30,2020,173,64,Morphettville Park (SA)/Henley HS (SA)/South Adelaide (SANFL),2021,nationalDraft,42,2022-10-24
Tom,Powell,4068,North Melbourne,2022,24,MIDFIELDER_FORWARD,CD_I1011659,2002-03-02,2020,184,75,Unley (SA)/Scotch College (SA)/Sturt (SANFL),2021,nationalDraft,13,2022-10-24
Flynn,Perez,2208,North Melbourne,2022,39,MIDFIELDER,CD_I1011771,2001-08-25,2019,188,85,Sandhurst (Vic)/Catherine McAuley College (Vic)/Bendigo U18,2020,nationalDraft,35,2022-10-24
Kallan,Dawson,4988,North Melbourne,2022,42,KEY_DEFENDER,CD_I1012144,1998-07-22,2022,196,89,Williamstown CYMS (Vic)/Williamstown (VFL),2022,other,2,2022-10-24
Will,Phillips,3261,North Melbourne,2022,29,MIDFIELDER,CD_I1012829,2002-05-22,2020,181,80,Beverley Hills (Vic)/Caulfield Grammar (Vic)/Oakleigh U18,2021,nationalDraft,3,2022-10-24
Eddie,Ford,3223,North Melbourne,2022,40,MEDIUM_FORWARD,CD_I1012833,2002-06-21,2020,189,83,Yarraville-Seddon (Vic)/Western U18,2021,nationalDraft,56,2022-10-24
Charlie,Lazzaro,2470,North Melbourne,2022,35,MEDIUM_FORWARD,CD_I1012852,2002-03-25,2020,179,73,St Mary&apos;s Geelong (Vic)/Geelong College (Vic)/Geelong U18,2021,nationalDraft,36,2022-10-24
Patrick,Walker,3381,North Melbourne,2022,33,MEDIUM_DEFENDER,CD_I1013191,2002-07-09,2020,187,76,North Hobart (Tas),NA,rookieElevation,2,2022-10-24
Charlie,Comben,2398,North Melbourne,2022,30,KEY_FORWARD,CD_I1015781,2001-07-20,2019,199,84,Sale (Vic)/Catholic College Sale (Vic)/Gippsland U18,2021,nationalDraft,31,2022-10-24
Jacob,Edwards,3171,North Melbourne,2022,32,RUCK,CD_I1015895,2002-11-22,2021,202,85,Beaumaris (Vic)/Mentone Grammar (Vic)/Sandringham U18,NA,other,1,2022-10-24
Miller,Bergman,2723,North Melbourne,2022,27,MEDIUM_DEFENDER,CD_I1017095,2003-01-25,2021,188,70,Berwick (Vic)/Mazenod College (Vic)/Dandenong U18,2022,nationalDraft,38,2022-10-24
Josh,Goater,2487,North Melbourne,2022,31,MEDIUM_DEFENDER,CD_I1017118,2003-06-02,2021,190,80,Sunbury (Vic)/Sunbury College (Vic)/Calder U18,2022,nationalDraft,22,2022-10-24
Jackson,Archer,5206,North Melbourne,2022,34,MEDIUM_DEFENDER,CD_I1020968,2003-01-09,2021,185,75,Park Orchards (Vic)/Whitefriars College (Vic)/Northern U18,2022,fatherSon,59,2022-10-24
Tom,Lynch,41,North Melbourne,2022,0,MIDFIELDER,CD_I270938,1990-09-15,2008,193,88,Beaumaris (Vic)/Haileybury Coll (Vic)/Sandr U18/St Kilda/Adel,2010,nationalDraft,13,2022-10-24
Todd,Goldstein,600,North Melbourne,2022,22,RUCK,CD_I271129,1988-07-01,2006,201,103,Trinity Grammar (Vic)/Oakleigh U18,2008,nationalDraft,37,2022-10-24
Ben,Cunnington,664,North Melbourne,2022,10,MIDFIELDER,CD_I280921,1991-06-30,2009,185,88,Cobden (Vic)/Geelong U18,2010,nationalDraft,5,2022-10-24
Jack,Ziebell,732,North Melbourne,2022,7,MEDIUM_FORWARD,CD_I280944,1991-02-28,2008,188,89,Wodonga (Vic)/Murray U18,2009,nationalDraft,9,2022-10-24
Hugh,Greenwood,803,North Melbourne,2022,18,MIDFIELDER,CD_I281091,1992-03-06,2017,191,94,Lauderdale (Tas)/Adelaide/Gold Coast,2017,rookieElevation,NA,2022-10-24
Jared,Polec,622,North Melbourne,2022,13,MIDFIELDER,CD_I290738,1992-10-12,2021,187,86,Seaton Ramblers (SA)/W-W Torrens (SANFL)/Brisbane/P Adel,2011,rookieElevation,1,2022-10-24
Josh,Walker,335,North Melbourne,2022,19,KEY_DEFENDER,CD_I291550,1992-11-12,2013,197,98,Lara (Vic)/Geelong U18/Geelong/Brisbane,2012,rookieElevation,54,2022-10-24
Jed,Anderson,531,North Melbourne,2022,3,MIDFIELDER_FORWARD,CD_I291861,1994-02-02,2012,179,81,Darwin (NT)/NT Thunder (NEAFL)/Hawthorn,2013,other,NA,2022-10-24
Aidan,Corr,437,North Melbourne,2022,4,KEY_DEFENDER,CD_I294508,1994-05-17,2012,195,97,Macleod (Vic)/Northern U18/GWS,2013,nationalDraft,14,2022-10-24
Luke,McDonald,424,North Melbourne,2022,11,MEDIUM_DEFENDER,CD_I296355,1995-02-09,2013,189,86,Kew Comets (Vic)/Oakleigh U18/Werribee (VFL),2014,fatherSon,8,2022-10-24
Aaron,Hall,217,North Melbourne,2022,43,MEDIUM_DEFENDER,CD_I296735,1990-11-09,2011,185,85,Hobart (Tas)/Gold Coast,2012,preseason,7,2022-10-24
Kayne,Turner,419,North Melbourne,2022,28,MEDIUM_DEFENDER,CD_I992499,1995-12-31,2014,180,71,Wodonga (Vic)/Murray U18,2014,rookieElevation,NA,2022-10-24
Jy,Simpkin,1405,North Melbourne,2022,12,MIDFIELDER,CD_I993998,1998-03-05,2016,182,77,Mooroopna (Vic)/Scotch College (Vic)/Murray U18,2017,nationalDraft,12,2022-10-24
Kyron,Hayden,1759,North Melbourne,2022,37,MEDIUM_DEFENDER,CD_I998327,1999-06-07,2018,186,87,Noranda (WA)/Hale College (WA)/Subiaco (WAFL),2019,rookieElevation,27,2022-10-24
Cameron,Zurhaar,1404,North Melbourne,2022,44,MEDIUM_FORWARD,CD_I998484,1998-05-22,2016,189,92,Melville (WA)/East Fremantle (WAFL),2017,rookieElevation,11,2022-10-24
Willem,Drew,1400,Port Adelaide,2022,28,MIDFIELDER,CD_I1000972,1998-10-01,2016,188,87,Koroit (Vic)/North Ballarat U18,2019,nationalDraft,33,2022-10-24
Connor,Rozee,1848,Port Adelaide,2022,20,MIDFIELDER_FORWARD,CD_I1001299,2000-01-22,2018,185,80,South Augusta (SA)/North Adelaide (SANFL),2019,nationalDraft,5,2022-10-24
Sam,Hayes,1612,Port Adelaide,2022,25,RUCK,CD_I1002248,1999-06-09,2017,205,102,Ferntree Gully (Vic)/Eastern U18,2022,nationalDraft,47,2022-10-24
Kane,Farrell,1758,Port Adelaide,2022,24,MIDFIELDER_FORWARD,CD_I1002253,1999-03-17,2017,182,78,Castlemaine (Vic)/Bendigo U18,2018,nationalDraft,51,2022-10-24
Jed,McEntee,5558,Port Adelaide,2022,41,MEDIUM_FORWARD,CD_I1004819,2001-02-15,2021,176,78,Mitcham (SA)/Sturt (SANFL),2021,other,13,2022-10-24
Todd,Marshall,1356,Port Adelaide,2022,4,KEY_FORWARD,CD_I1004998,1998-10-08,2016,198,92,Deniliquin Rams (NSW)/Murray U18,2017,nationalDraft,16,2022-10-24
Jackson,Mead,3732,Port Adelaide,2022,44,MIDFIELDER_FORWARD,CD_I1005326,2001-09-30,2019,184,85,SMOSH Westlakes (SA)/Henley HS (SA)/W-West Torrens (SANFL),2022,fatherSon,25,2022-10-24
Xavier,Duursma,1852,Port Adelaide,2022,7,MIDFIELDER,CD_I1006096,2000-07-07,2018,186,81,Foster (Vic)/South Gippsland SC (Vic)/Gippsland U18,2019,nationalDraft,18,2022-10-24
Zak,Butters,1856,Port Adelaide,2022,18,MIDFIELDER_FORWARD,CD_I1006121,2000-09-08,2018,181,78,Darley (Vic)/Maribyrnong College (Vic)/Western U18,2019,nationalDraft,12,2022-10-24
Brynn,Teakle,6876,Port Adelaide,2022,27,RUCK,CD_I1007591,1999-10-16,NA,204,96,NA,NA,NA,NA,2022-10-24
Miles,Bergman,2848,Port Adelaide,2022,14,MIDFIELDER,CD_I1009191,2001-10-18,2019,189,84,Hampton Rovers (Vic)/St Bede&apos;s College (Vic)/Sandringham U18,2021,nationalDraft,14,2022-10-24
Dylan,Williams,2620,Port Adelaide,2022,23,MEDIUM_FORWARD,CD_I1009195,2001-07-01,2019,186,82,Surrey Park JFC (Vic)/Whitefriars Old Coll (Vic)/Whitefriars Coll (Vic)/Oakl U18,2021,nationalDraft,23,2022-10-24
Jake,Pasini,3731,Port Adelaide,2022,48,KEY_DEFENDER,CD_I1009389,2001-02-06,2019,192,86,Caversham (WA)/Swan Districts (WAFL),NA,rookieElevation,8,2022-10-24
Mitch,Georgiades,3733,Port Adelaide,2022,19,KEY_FORWARD,CD_I1010174,2001-09-28,2019,192,88,Marist (WA)/Hale School (WA)/Subiaco (WAFL),2020,nationalDraft,18,2022-10-24
